step,episode_return
1000,-178.72963322408623
2000,-230.21436078094675
3000,-273.51473084000594
4000,-202.07328467850616
5000,-256.9756276205049
6000,-172.6758755078074
7000,-198.382514755672
8000,-230.63166584523
9000,-153.42522566277063
10000,-171.07348701506464
11000,-189.40639294960621
12000,-212.3822717689331
13000,-147.7772581325791
14000,-179.73033790448162
15000,-168.38306425272734
16000,-173.44788389126577
17000,-180.35725953603693
18000,-216.84164319771241
19000,-164.92694770383568
20000,-213.39158989396267
21000,-142.4537146480554
22000,-230.70735074140745
23000,-138.74050444548806
24000,-118.90471700357227
25000,30.52353824193972
26000,-9.739858899506636
27000,84.51505670417318
28000,-62.35706757520053
29000,-9.947879247806645
30000,-299.9987431126874
31000,51.465919023571
32000,174.6649545553296
33000,126.10158967034064
34000,147.9819493765071
35000,240.88236063877054
36000,185.21739034040652
37000,244.82834085485325
38000,259.7165259443828
39000,170.74309510351173
40000,193.21499165281037
41000,166.278726987778
42000,273.40130297587757
43000,254.35705259466633
44000,220.9833888543374
45000,270.23806168369305
46000,185.9876766712623
47000,252.06244642579185
48000,304.53763296776907
49000,254.1703080019185
50000,265.0456794063788
51000,332.6255583886958
52000,318.79501029168836
53000,359.70122875959515
54000,330.52803569457865
55000,357.14712152786007
56000,484.02156239547924
57000,480.5678969929507
58000,442.2515172628135
59000,470.74524969248216
60000,486.8688083194031
61000,449.1126856351643
62000,516.3094163569473
63000,488.10342589521144
64000,471.9019364035767
65000,272.9345011609507
66000,352.7662214599869
67000,403.88645768802513
68000,359.38755353668967
69000,431.2520547308407
70000,467.5911188699375
71000,376.7504670685479
72000,498.6690792477541
73000,472.2883016585988
74000,457.5479004664503
75000,402.2968817399631
76000,475.4777213800899
77000,472.092448791424
78000,525.1935871415759
79000,504.1280636767498
80000,412.48502191300986
81000,367.0606472613765
82000,493.71192489716395
83000,510.36633438618367
84000,566.3201871542321
85000,379.6738794540188
86000,494.6885768904807
87000,248.33616390163564
88000,523.5052888161567
89000,553.0873837887834
90000,604.1856479025522
91000,-68.7675145417713
92000,351.89397892563557
93000,439.6150188743006
94000,-70.97922204502493
95000,529.5704319462776
96000,651.5375684617901
97000,548.3443858253946
98000,569.4472395238637
99000,658.6091514286923
100000,572.0645364643254
101000,545.4326113904592
102000,627.0161715574282
103000,533.5914970461473
104000,527.3090437647832
105000,377.8214068446433
106000,280.9498191356846
107000,499.18171680660174
108000,402.1094172741935
109000,480.3178523132827
110000,475.26693924149487
111000,479.75483416526856
112000,505.4390527189067
113000,550.8672400814753
114000,328.13035745932416
115000,558.7649492982642
116000,415.3905763623993
117000,507.00797903105354
118000,454.2639027162137
119000,565.0681034259393
120000,580.4906596960038
121000,450.52402312884476
122000,536.6369836009491
123000,-149.4913374773231
124000,580.5425651544815
125000,-249.19281501570222
126000,-199.3998520042034
127000,570.9423999082305
128000,554.0243616224335
129000,539.6550706919327
130000,328.7281218612798
131000,474.2616577341097
132000,560.4265767216173
133000,505.6804630582176
134000,438.49796059088874
135000,565.5564660890184
136000,548.8626509966037
137000,464.98693412517105
138000,302.8179113804458
139000,628.468250560044
140000,613.8538388893462
141000,620.3948864903153
142000,647.4597327370699
143000,615.7370498987254
144000,-337.0530691110613
145000,430.78578787831015
146000,622.405547693784
147000,617.0271357421633
148000,-493.50312689757857
149000,-248.1992387859244
150000,-194.72892014971558
151000,-118.14944988966292
152000,37.58064354341508
153000,303.2706608418298
154000,678.6222549763435
155000,939.4699613105008
156000,883.0408853177329
157000,860.5572601619098
158000,1247.5190810663175
159000,1278.3844392328942
160000,1227.2550206800986
161000,1121.220726510895
162000,1269.355860683772
163000,1386.9797565194358
164000,1305.763867478653
165000,1346.210888517253
166000,1329.8148157592625
167000,1360.0630889571364
168000,1515.7318005949903
169000,1422.6881007908396
170000,1290.217816255146
171000,1451.1209661079174
172000,1385.1940221264372
173000,1546.5982753050625
174000,1425.9531126366562
175000,1381.497661267983
176000,1429.8925281517872
177000,1426.186961613573
178000,1371.2236048646716
179000,1340.261316569009
180000,1416.9262711007113
181000,1433.3846416061822
182000,1363.380709158323
183000,1370.3068524573903
184000,1324.8890125331511
185000,1264.359936245018
186000,1333.6486987108294
187000,1347.1797570763656
188000,1343.5198263043906
189000,1441.5715412133839
190000,1451.5022763215297
191000,1389.3953173730358
192000,1405.5603121588035
193000,1402.5553915852154
194000,1495.8534521032357
195000,1482.920150272191
196000,1459.1272729004081
197000,1411.0641744891168
198000,1391.8745392709168
199000,1479.3098971419122
200000,1372.1418149020747
201000,1394.7639773312019
202000,1369.821143567547
203000,1218.6148429376212
204000,1281.8655102369548
205000,1399.5884817912888
206000,1406.346319739159
207000,1369.3299273640084
208000,1310.3573415492174
209000,448.1378459856355
210000,521.496264663755
211000,470.05527034038784
212000,930.4571418150254
213000,1138.9810160535878
214000,1248.370047231437
215000,1246.5352916941038
216000,1277.3660346693162
217000,1343.4517097989137
218000,122.7592499477021
219000,976.1690279863653
220000,1248.0313464513558
221000,1308.9263515559205
222000,1270.3466930045702
223000,1339.273918753995
224000,1283.2257165250944
225000,1446.6722123349566
226000,1328.7171214152158
227000,1305.8364779841565
228000,1110.291676154493
229000,1341.633181646564
230000,1313.5862067677626
231000,1291.7026284891035
232000,1322.4043925339654
233000,1358.9752950752136
234000,1390.9790030713814
235000,1356.755675979034
236000,1294.3105542444266
237000,1320.863948717716
238000,1332.6745797162348
239000,1308.3498024024261
240000,1342.7428698751623
241000,1302.4474584516013
242000,1302.7052004234283
243000,1268.7308125341838
244000,1330.8896818316575
245000,764.5343509243436
246000,1449.4291044866825
247000,1348.3781149956562
248000,1355.9797273026277
249000,1354.092047004596
250000,1399.38331781586
251000,1403.8036636066427
252000,1330.355516900549
253000,1513.714298500176
254000,1558.865143815315
255000,1512.1797974366946
256000,1504.747793868839
257000,1401.5419078916698
258000,1654.320028758558
259000,1509.5276796854182
260000,1479.9867680582888
261000,1472.923130458468
262000,1543.2241873034723
263000,1633.3012389243056
264000,1565.2218055101023
265000,1649.931919206027
266000,1521.1014453013559
267000,1583.0916383135182
268000,1578.29810764792
269000,1549.108014370625
270000,1585.0265006272875
271000,1474.7652797446024
272000,1487.3842760146135
273000,1567.3016455143975
274000,1526.2703442880484
275000,1486.716576437301
276000,1529.2224686971874
277000,1686.372321573742
278000,1672.1117075670568
279000,1568.8223081300912
280000,1580.920256735194
281000,1551.7131466607932
282000,1560.4165266550572
283000,1612.486388482179
284000,1618.1861052541078
285000,1610.141138581765
286000,1605.9889161926417
287000,1585.8473306576748
288000,1553.9815430489446
289000,1506.6226095325246
290000,1553.0682355760928
291000,1633.3728712361253
292000,1613.514843919321
293000,1563.8959416979778
294000,1602.598530561766
295000,1587.831675518756
296000,1623.6371781563594
297000,1509.4093375286952
298000,1522.1833135734587
299000,1583.580445419053
300000,1493.9024464236531
301000,1690.4616209932276
302000,1611.181239804028
303000,1535.8419042271219
304000,1558.657021665362
305000,1664.6511695501915
306000,1561.390074565519
307000,1635.063003926448
308000,1640.6937438255343
309000,1621.2803992238198
310000,1673.4544834968483
311000,1727.9815102007733
312000,1752.187496303393
313000,1036.1628702016806
314000,1427.328174151102
315000,1538.8490906066058
316000,1670.4888092707126
317000,1604.1713058655098
318000,1674.9694682201748
319000,1684.3985551807064
320000,1940.6069966760247
