variant,final_eval_step,final_eval_mean,final_eval_std,final_eval_ci95_low,final_eval_ci95_high,best_eval_step,best_eval_mean,final_train_step,final_train_mean,final_train_std
TD3,1000000,6564.54608948533,1023.6015167359731,5406.231931473701,7722.86024749696,980000,6582.916601557823,1000000,5991.5773660882505,945.6431360601126
Streaming AC,1000000,2983.6833700921566,335.44136637265365,2604.0957302738852,3363.271009910428,1000000,2983.6833700921566,1000000,2663.5332559488884,324.48662545434973
AVG,1000000,1784.6920089307976,547.9917083741335,1164.5810146575593,2404.803003204036,940000,1950.4237951962525,1000000,1730.1216109294157,705.0275506773038
