variant,final_eval_step,final_eval_mean,final_eval_std,final_eval_ci95_low,final_eval_ci95_high,best_eval_step,best_eval_mean,final_train_step,final_train_mean,final_train_std
TD3,1000000,6564.54608948533,1023.6015167359731,5406.231931473701,7722.86024749696,980000,6582.916601557823,1000000,5991.5773660882505,945.6431360601126
Stream AC(lambda),1000000,2983.6833700921566,335.44136637265365,2604.0957302738852,3363.271009910428,1000000,2983.6833700921566,1000000,2663.5332559488884,324.48662545434973
AVG B,1000000,1914.7059977363099,574.7504395291493,1264.31464861745,2565.0973468551697,950000,2379.7330432574895,1000000,1856.5236696890377,605.0430175107103
AVG A,1000000,1891.1647195417668,729.77475721247,879.7485075969073,2902.5809314866265,940000,2230.6460387186244,1000000,2055.9947233301414,562.1710651805496
AVG C,1000000,1785.675035072387,483.8931652508166,1238.0983706078919,2333.251699536882,950000,1811.920726074075,1000000,1793.0080313344135,438.1714328393865
