step,td_raw,td_used,td_scale
10000,1.6972988843917847,1.6972988843917847,1.0
20000,1.1021488904953003,1.1021488904953003,1.0
30000,0.8062446117401123,0.8062446117401123,1.0
40000,0.2773178815841675,0.2773178815841675,1.0
50000,1.3847240209579468,1.3847240209579468,1.0
60000,0.09360362589359283,0.09360362589359283,1.0
70000,-0.15175095200538635,-0.15175095200538635,1.0
80000,-0.10229740291833878,-0.10229740291833878,1.0
90000,-0.02903049811720848,-0.02903049811720848,1.0
100000,-0.24819612503051758,-0.24819612503051758,1.0
