step,mean,std,n,ci95_low,ci95_high
10000,10.015952713199377,3.4617180215958396,3,6.098650003210581,13.933255423188173
20000,7.104328371598213,2.498776158171267,3,4.276696959971205,9.93195978322522
30000,7.660611865400411,4.975719989067674,3,2.030054646203581,13.291169084597241
40000,7.497497510491928,2.42498283617644,3,4.753371103728416,10.24162391725544
50000,10.730167739006506,10.867009244855742,3,-1.5670108580885795,23.02734633610159
60000,5.8952672747354455,3.577148177071231,3,1.8473430473274668,9.943191502143424
70000,6.048588327040682,0.8231728552417034,3,5.117080550696437,6.980096103384927
80000,12.967533033932808,8.818073574129457,3,2.9889434164879756,22.946122651377642
90000,16.253557161852285,9.764249008088306,3,5.204269247073817,27.302845076630753
100000,10.690342640141521,7.446121310646936,3,2.2642631596251093,19.116422120657933
110000,10.959149433714984,1.7848624560210813,3,8.939387427592537,12.97891143983743
120000,12.798762796909655,3.3963674955621435,3,8.955411168763446,16.642114425055865
130000,16.106892830093127,19.52594493674725,3,-5.988793918116031,38.202579578302284
140000,16.846634322655245,2.0791188868438604,3,14.49388981862203,19.19937882668846
150000,8.398047658287869,4.63745443628544,3,3.1502739466855836,13.645821369890154
160000,21.9082584476988,14.36825350225005,3,5.649048994173452,38.16746790122414
170000,20.10923760597741,11.283547103579767,3,7.340702048952831,32.87777316300199
180000,14.304687539136316,7.842513284331787,3,5.430048313705257,23.179326764567374
190000,10.399052470615331,3.8177522483301445,3,6.078859105600824,14.719245835629838
200000,14.092640637897484,11.86857868431567,3,0.662079525253187,27.52320175054178
210000,20.04265600776526,10.940706957490216,3,7.662080597982955,32.42323141754756
220000,23.599251859818168,10.53661053471559,3,11.675954599832153,35.52254911980418
230000,20.084688438091984,2.295849392195255,3,17.486690279470558,22.68268659671341
240000,30.115504655492902,15.289341322085217,3,12.813986212538484,47.417023098447316
250000,18.64876903352108,11.249270232557176,3,5.919021407491769,31.378516659550392
260000,29.538047358744794,15.911156096110549,3,11.532879258537939,47.54321545895165
270000,31.656272970169287,10.98111477590073,3,19.2299718093071,44.08257413103148
280000,31.984287805662504,9.967323595382036,3,20.70519936231041,43.2633762490146
290000,38.26901787370074,6.424329363382451,3,30.999204830569855,45.53883091683163
300000,42.46513507545178,12.717466166109508,3,28.073967347201744,56.85630280370181
310000,27.834293320927642,17.04719989701386,3,8.543570639965829,47.125016001889456
320000,27.186967341915064,6.230080587907985,3,20.13696748109166,34.23696720273847
330000,31.980055141034516,5.517528518764722,3,25.736383852916827,38.22372642915221
340000,31.973592469671328,9.859624583623972,3,20.81637693104198,43.130808008300676
350000,43.136895320216176,7.946995785373465,3,34.14402301458516,52.129767625847194
360000,22.65335545519295,17.534977672096684,3,2.8106602599235195,42.49605065046238
370000,37.46957493278128,12.18584679030459,3,23.67999116039693,51.259158705165625
380000,42.79415338978794,4.209176788278869,3,38.03102146030006,47.55728531927581
390000,21.6521502105627,11.216335798163517,3,8.95967140547645,34.34462901564895
400000,44.47437265841151,15.949555014164714,3,26.425752091881336,62.522993224941686
410000,33.116419806109924,8.247890814756246,3,23.78305272110345,42.4497868911164
420000,30.69903214710436,10.425832413921821,3,18.90109213172513,42.496972162483594
430000,21.93607912170727,9.375801768013101,3,11.32636063943064,32.5457976039839
440000,29.728306702293725,2.86975677805132,3,26.480871199593025,32.975742204994425
450000,38.18905950138773,12.339167250466046,3,24.225977295468255,52.15214170730721
460000,35.941989768285396,17.44248531067658,3,16.20395953295317,55.68002000361762
470000,38.72424989044844,9.633112575345951,3,27.823356818968932,49.62514296192795
480000,40.64885163109401,13.983450292511577,3,24.825088001554644,56.472615260633376
490000,29.89746873906218,6.626376407818997,3,22.399017941562256,37.395919536562104
500000,42.15855444484431,13.216414737658905,3,27.202773256086466,57.11433563360216
510000,50.01466346072444,21.534179500999723,3,25.646445370631813,74.38288155081707
520000,41.84506140068438,33.1024583724711,3,4.38610342640262,79.30401937496615
530000,50.30550136736806,18.634233022946457,3,29.21888164156497,71.39212109317114
540000,60.16760306629271,10.505651998164609,3,48.27933868835309,72.05586744423233
550000,57.048089722937526,26.090956267797004,3,27.523393298667912,86.57278614720714
560000,67.70708578764032,20.376840423704415,3,44.648520152075136,90.76565142320551
570000,74.03100697883406,20.860485217318924,3,50.425145737769284,97.63686821989883
580000,70.66227378868179,27.887444508373704,3,39.10465954459798,102.2198880327656
590000,65.2087171491038,35.16148611709135,3,25.419749938476237,104.99768435973138
600000,93.01028557111222,59.75097853146999,3,25.395688233716243,160.6248829085082
610000,74.51302697038018,45.44634355878796,3,23.085647943173313,125.94040599758705
620000,87.80144737627035,66.42724921782981,3,12.631938550087156,162.97095620245352
630000,55.76194354366229,23.08310001918061,3,29.640956884444527,81.88293020288006
640000,64.7940301956797,35.56835547896491,3,24.54464695927082,105.04341343208857
650000,76.41692550409637,12.375058398801887,3,62.41322864043658,90.42062236775617
660000,71.70935996768468,50.679221148875854,3,14.360422501341539,129.05829743402782
670000,93.18549903487717,38.63232348082176,3,49.468909607173806,136.90208846258054
680000,89.27335058363936,33.0233086203047,3,51.90395898556794,126.64274218171077
690000,86.66692927258329,23.47458207686703,3,60.10293896144472,113.23091958372186
700000,70.7774993979255,34.549432971682684,3,31.681135521887633,109.87386327396337
710000,57.95211730084555,13.112492795663442,3,43.11393486001185,72.79029974167925
720000,70.23058847649506,3.6111654470784766,3,66.14417008429535,74.31700686869476
730000,70.09331396977971,12.431126808492527,3,56.02616972772119,84.16045821183825
740000,75.96675651208834,5.192036847403573,3,70.09141372396616,81.84209930021052
750000,87.86165744385636,32.974237752808605,3,50.54779475975909,125.17552012795363
760000,93.64161232720461,15.698377763956083,3,75.87722557659806,111.40599907781116
770000,82.61000249626865,21.328140075591044,3,58.474939964913844,106.74506502762345
780000,101.60670541607145,30.40661631286618,3,67.1983799138487,136.0150309182942
790000,86.06334600645481,28.409783197839968,3,53.914649891746855,118.21204212116277
800000,80.41956272223658,32.6126746509739,3,43.51484720431898,117.32427824015417
810000,82.29551208619534,19.573448735081364,3,60.146069729704955,104.44495444268574
820000,98.80510358733875,22.79803297498721,3,73.0067006561372,124.6035065185403
830000,99.92134180703353,24.090409019011467,3,72.66047770828519,127.18220590578187
840000,85.96439483628524,38.89081655140695,3,41.95529296256529,129.97349671000518
850000,75.95991816178939,29.674911773595255,3,42.379594292488704,109.54024203109007
860000,83.52378127713217,17.37916939648092,3,63.857399743605455,103.19016281065889
870000,73.49929867682464,14.180184469236407,3,57.45290936869914,89.54568798495013
880000,89.85018571166289,13.045633986224317,3,75.08766113601885,104.61271028730692
890000,104.01170715108084,30.425140264117797,3,69.5824198247046,138.44099447745708
900000,83.22631337497906,21.436241541966705,3,58.96892251862916,107.48370423132896
910000,86.1648438143905,19.508451561089792,3,64.08895268426528,108.24073494451571
920000,91.77949245099951,16.459846566217372,3,73.15342263318146,110.40556226881756
930000,98.85725340489758,21.738356766041626,3,74.25798698889363,123.45651982090152
940000,100.75788481557105,16.587858373757157,3,81.9869560007296,119.52881363041249
950000,106.67407984388156,19.328290337330095,3,84.80206033058532,128.5460993571778
960000,114.47585914599436,10.737032481330232,3,102.32576310294259,126.62595518904614
970000,108.43849310679674,36.59375177799891,3,67.02876472501214,149.84822148858134
980000,122.47796859008103,17.434697594197367,3,102.74875098555188,142.2071861946102
990000,94.72966710142367,10.484407086433807,3,82.86544360427716,106.59389059857018
1000000,90.21566192307063,32.293559442980104,3,53.672059257578965,126.75926458856229
