variant,final_eval_step,final_eval_mean,final_eval_std,final_eval_ci95_low,final_eval_ci95_high,best_eval_step,best_eval_mean,final_train_step,final_train_mean,final_train_std
AVG B + LN clip,1000000,486.06666666666666,12.657540572059531,471.7433111318146,500.3900222015187,980000,487.8333333333333,1000000,478.3333333333333,38.99145205469184
AVG A clip,1000000,477.6666666666667,43.86141052603454,428.03280820515096,527.3005251281825,920000,492.90000000000003,1000000,493.6666666666667,32.65475973473597
AVG B clip,1000000,444.76666666666665,20.12220995152703,421.99624253554623,467.5370907977871,930000,484.1333333333334,1000000,409.0,10.0
AVG C clip,1000000,0.03333333333333333,0.05773502691896258,-0.03200000000000001,0.09866666666666668,20000,0.5666666666666667,1000000,0.0,0.0
AVG C + LN clip,1000000,0.0,0.0,0.0,0.0,10000,0.8666666666666667,1000000,0.0,0.0
