variant,final_eval_step,final_eval_mean,final_eval_std,final_eval_ci95_low,final_eval_ci95_high,best_eval_step,best_eval_mean,final_train_step,final_train_mean,final_train_std
A (TD only baseline),1000000,574.6166433192329,71.13672397629703,494.1178621147459,655.11542452372,990000,696.2958518162991,1000000,501.68744723453466,250.927518321201
A + LayerNorm,1000000,361.95106646628966,437.7353477678461,-133.39311043416797,857.2952433667473,940000,443.3502184504702,1000000,426.6179468988683,322.43748516737753
C + LayerNorm,1000000,266.2675168536798,51.9212522853497,207.51308884580592,325.0219448615537,630000,322.6335200165572,1000000,307.21436855149545,182.8572317948528
B + LayerNorm,1000000,187.87195987816037,20.947724074027843,164.1673785773824,211.57654117893833,840000,229.29330611983346,1000000,131.19509731264876,82.63033378476521
