variant,final_eval_step,final_eval_mean,final_eval_std,final_eval_ci95_low,final_eval_ci95_high,best_eval_step,best_eval_mean,final_train_step,final_train_mean,final_train_std
A (TD only baseline),1000000,574.6166433192329,71.13672397629703,494.1178621147459,655.11542452372,990000,696.2958518162991,1000000,501.68744723453466,250.927518321201
B + RS,1000000,231.47904530432197,291.2698688961807,-98.1238396351904,561.0819302438343,380000,328.6505072763066,1000000,363.8067609406468,374.2429621611272
C + RS + Eta Scaling,1000000,193.24046409341986,93.64704872365235,87.26885246616708,299.21207572067266,860000,308.17781386867404,1000000,161.6952905055385,63.298870742994026
