step,episode_return
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,2.0
10000,0.0
11000,4.0
12000,0.0
13000,0.0
14000,0.0
15000,0.0
16000,0.0
17000,6.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.0
27000,0.0
28000,0.0
29000,0.0
30000,2.0
31000,7.0
32000,7.0
33000,0.0
34000,4.0
35000,0.0
36000,0.0
37000,0.0
38000,1.0
39000,0.0
40000,0.0
41000,0.0
42000,4.0
43000,7.0
44000,0.0
45000,0.0
46000,0.0
47000,0.0
48000,0.0
49000,5.0
50000,5.0
51000,0.0
52000,8.0
53000,32.0
54000,3.0
55000,40.0
56000,56.0
57000,64.0
58000,83.0
59000,68.0
60000,79.0
61000,167.0
62000,48.0
63000,108.0
64000,78.0
65000,137.0
66000,93.0
67000,60.0
68000,64.0
69000,131.0
70000,199.0
71000,226.0
72000,186.0
73000,270.0
74000,271.0
75000,223.0
76000,244.0
77000,230.0
78000,283.0
79000,266.0
80000,268.0
81000,302.0
82000,230.0
83000,300.0
84000,272.0
85000,246.0
86000,272.0
87000,291.0
88000,200.0
89000,285.0
90000,227.0
91000,313.0
92000,330.0
93000,325.0
94000,274.0
95000,326.0
96000,316.0
97000,313.0
98000,345.0
99000,350.0
100000,359.0
101000,361.0
102000,339.0
103000,306.0
104000,289.0
105000,358.0
106000,364.0
107000,344.0
108000,324.0
109000,302.0
110000,314.0
111000,324.0
112000,341.0
113000,341.0
114000,379.0
115000,348.0
116000,316.0
117000,337.0
118000,364.0
119000,349.0
120000,354.0
121000,320.0
122000,329.0
123000,357.0
124000,325.0
125000,336.0
126000,334.0
127000,337.0
128000,329.0
129000,358.0
130000,333.0
131000,351.0
132000,337.0
133000,361.0
134000,385.0
135000,369.0
136000,373.0
137000,353.0
138000,375.0
139000,370.0
140000,356.0
141000,356.0
142000,375.0
143000,389.0
144000,379.0
145000,351.0
146000,337.0
147000,402.0
148000,378.0
149000,394.0
150000,361.0
151000,360.0
152000,366.0
153000,359.0
154000,363.0
155000,384.0
156000,358.0
157000,383.0
158000,352.0
159000,380.0
160000,337.0
161000,372.0
162000,302.0
163000,357.0
164000,318.0
165000,377.0
166000,324.0
167000,339.0
168000,394.0
169000,406.0
170000,385.0
171000,353.0
172000,393.0
173000,366.0
174000,364.0
175000,380.0
176000,341.0
177000,368.0
178000,378.0
179000,425.0
180000,406.0
181000,368.0
182000,409.0
183000,390.0
184000,388.0
185000,392.0
186000,408.0
187000,381.0
188000,399.0
189000,412.0
190000,418.0
191000,375.0
192000,391.0
193000,426.0
194000,401.0
195000,390.0
196000,406.0
197000,401.0
198000,423.0
199000,402.0
200000,431.0
201000,407.0
202000,372.0
203000,398.0
204000,400.0
205000,404.0
206000,399.0
207000,416.0
208000,415.0
209000,424.0
210000,408.0
211000,382.0
212000,419.0
213000,427.0
214000,396.0
215000,417.0
216000,425.0
217000,418.0
218000,421.0
219000,405.0
220000,424.0
221000,416.0
222000,409.0
223000,435.0
224000,443.0
225000,398.0
226000,414.0
227000,421.0
228000,445.0
229000,380.0
230000,427.0
231000,369.0
232000,407.0
233000,422.0
234000,423.0
235000,414.0
236000,438.0
237000,397.0
238000,426.0
239000,450.0
240000,428.0
241000,429.0
242000,409.0
243000,427.0
244000,442.0
245000,449.0
246000,443.0
247000,413.0
248000,426.0
249000,419.0
250000,430.0
251000,442.0
252000,423.0
253000,423.0
254000,451.0
255000,451.0
256000,431.0
257000,436.0
258000,435.0
259000,443.0
260000,444.0
261000,450.0
262000,446.0
263000,425.0
264000,452.0
265000,438.0
266000,444.0
267000,442.0
268000,446.0
269000,444.0
270000,453.0
271000,438.0
272000,437.0
273000,454.0
274000,438.0
275000,443.0
276000,428.0
277000,449.0
278000,431.0
279000,436.0
280000,435.0
281000,453.0
282000,454.0
283000,452.0
284000,448.0
285000,447.0
286000,444.0
287000,446.0
288000,441.0
289000,425.0
290000,446.0
291000,427.0
292000,451.0
293000,450.0
294000,423.0
295000,439.0
296000,438.0
297000,448.0
298000,443.0
299000,456.0
300000,449.0
301000,436.0
302000,462.0
303000,448.0
304000,457.0
305000,455.0
306000,435.0
307000,455.0
308000,454.0
309000,448.0
310000,455.0
311000,450.0
312000,457.0
313000,453.0
314000,447.0
315000,461.0
316000,456.0
317000,444.0
318000,464.0
319000,479.0
320000,450.0
321000,438.0
322000,458.0
323000,461.0
324000,467.0
325000,464.0
326000,442.0
327000,460.0
328000,440.0
329000,440.0
330000,461.0
331000,445.0
332000,448.0
333000,463.0
334000,453.0
335000,457.0
336000,448.0
337000,438.0
338000,458.0
339000,446.0
340000,458.0
341000,455.0
342000,459.0
343000,451.0
344000,455.0
345000,458.0
346000,460.0
347000,454.0
348000,465.0
349000,449.0
350000,470.0
351000,468.0
352000,454.0
353000,453.0
354000,450.0
355000,462.0
356000,458.0
357000,472.0
358000,450.0
359000,417.0
360000,463.0
361000,470.0
362000,445.0
363000,459.0
364000,458.0
365000,460.0
366000,404.0
367000,466.0
368000,469.0
369000,432.0
370000,435.0
371000,463.0
372000,439.0
373000,464.0
374000,478.0
375000,473.0
376000,479.0
377000,463.0
378000,470.0
379000,444.0
380000,453.0
381000,453.0
382000,479.0
383000,455.0
384000,431.0
385000,464.0
386000,459.0
387000,478.0
388000,462.0
389000,466.0
390000,461.0
391000,444.0
392000,445.0
393000,443.0
394000,473.0
395000,447.0
396000,456.0
397000,461.0
398000,461.0
399000,468.0
400000,474.0
401000,447.0
402000,461.0
403000,465.0
404000,461.0
405000,449.0
406000,453.0
407000,454.0
408000,457.0
409000,467.0
410000,464.0
411000,483.0
412000,463.0
413000,458.0
414000,457.0
415000,464.0
416000,478.0
417000,480.0
418000,463.0
419000,465.0
420000,478.0
421000,454.0
422000,464.0
423000,460.0
424000,469.0
425000,455.0
426000,474.0
427000,460.0
428000,483.0
429000,459.0
430000,477.0
431000,477.0
432000,466.0
433000,462.0
434000,460.0
435000,464.0
436000,472.0
437000,476.0
438000,471.0
439000,462.0
440000,479.0
441000,476.0
442000,475.0
443000,457.0
444000,482.0
445000,468.0
446000,465.0
447000,461.0
448000,473.0
449000,481.0
450000,458.0
451000,477.0
452000,451.0
453000,457.0
454000,486.0
455000,473.0
456000,478.0
457000,459.0
458000,472.0
459000,475.0
460000,462.0
461000,479.0
462000,465.0
463000,469.0
464000,471.0
465000,481.0
466000,487.0
467000,465.0
468000,483.0
469000,461.0
470000,467.0
471000,478.0
472000,456.0
473000,461.0
474000,491.0
475000,486.0
476000,464.0
477000,453.0
478000,486.0
479000,488.0
480000,460.0
481000,475.0
482000,469.0
483000,480.0
484000,469.0
485000,467.0
486000,464.0
487000,435.0
488000,483.0
489000,456.0
490000,482.0
491000,446.0
492000,477.0
493000,478.0
494000,459.0
495000,486.0
496000,471.0
497000,483.0
498000,453.0
499000,475.0
500000,464.0
501000,481.0
502000,454.0
503000,478.0
504000,447.0
505000,481.0
506000,486.0
507000,474.0
508000,493.0
509000,466.0
510000,479.0
511000,479.0
512000,472.0
513000,479.0
514000,492.0
515000,462.0
516000,477.0
517000,483.0
518000,457.0
519000,486.0
520000,472.0
521000,476.0
522000,481.0
523000,461.0
524000,450.0
525000,467.0
526000,464.0
527000,462.0
528000,472.0
529000,468.0
530000,475.0
531000,478.0
532000,474.0
533000,491.0
534000,469.0
535000,479.0
536000,478.0
537000,479.0
538000,463.0
539000,473.0
540000,468.0
541000,484.0
542000,489.0
543000,472.0
544000,483.0
545000,478.0
546000,454.0
547000,461.0
548000,492.0
549000,463.0
550000,463.0
551000,491.0
552000,478.0
553000,447.0
554000,464.0
555000,475.0
556000,464.0
557000,463.0
558000,445.0
559000,464.0
560000,443.0
561000,463.0
562000,466.0
563000,465.0
564000,423.0
565000,452.0
566000,441.0
567000,443.0
568000,475.0
569000,459.0
570000,469.0
571000,458.0
572000,467.0
573000,464.0
574000,498.0
575000,444.0
576000,473.0
577000,485.0
578000,476.0
579000,475.0
580000,467.0
581000,485.0
582000,470.0
583000,458.0
584000,475.0
585000,475.0
586000,472.0
587000,471.0
588000,477.0
589000,470.0
590000,451.0
591000,479.0
592000,469.0
593000,464.0
594000,467.0
595000,482.0
596000,475.0
597000,472.0
598000,488.0
599000,480.0
600000,470.0
601000,483.0
602000,471.0
603000,477.0
604000,487.0
605000,477.0
606000,477.0
607000,482.0
608000,474.0
609000,467.0
610000,474.0
611000,474.0
612000,477.0
613000,483.0
614000,464.0
615000,491.0
616000,461.0
617000,478.0
618000,441.0
619000,441.0
620000,473.0
621000,468.0
622000,470.0
623000,473.0
624000,484.0
625000,467.0
626000,469.0
627000,476.0
628000,472.0
629000,470.0
630000,487.0
631000,481.0
632000,454.0
633000,475.0
634000,480.0
635000,472.0
636000,478.0
637000,487.0
638000,460.0
639000,484.0
640000,477.0
641000,483.0
642000,479.0
643000,475.0
644000,459.0
645000,484.0
646000,482.0
647000,482.0
648000,433.0
649000,483.0
650000,471.0
651000,489.0
652000,490.0
653000,461.0
654000,468.0
655000,486.0
656000,486.0
657000,456.0
658000,454.0
659000,479.0
660000,491.0
661000,487.0
662000,491.0
663000,474.0
664000,464.0
665000,472.0
666000,477.0
667000,482.0
668000,460.0
669000,478.0
670000,424.0
671000,488.0
672000,473.0
673000,469.0
674000,461.0
675000,480.0
676000,490.0
677000,459.0
678000,453.0
679000,471.0
680000,495.0
681000,477.0
682000,478.0
683000,466.0
684000,489.0
685000,485.0
686000,494.0
687000,490.0
688000,462.0
689000,459.0
690000,466.0
691000,485.0
692000,481.0
693000,486.0
694000,480.0
695000,466.0
696000,484.0
697000,468.0
698000,466.0
699000,489.0
700000,472.0
701000,485.0
702000,461.0
703000,475.0
704000,477.0
705000,462.0
706000,467.0
707000,495.0
708000,459.0
709000,441.0
710000,471.0
711000,451.0
712000,491.0
713000,457.0
714000,488.0
715000,450.0
716000,483.0
717000,470.0
718000,484.0
719000,463.0
720000,491.0
721000,464.0
722000,478.0
723000,484.0
724000,494.0
725000,476.0
726000,459.0
727000,480.0
728000,479.0
729000,479.0
730000,485.0
731000,496.0
732000,491.0
733000,483.0
734000,475.0
735000,484.0
736000,484.0
737000,490.0
738000,493.0
739000,480.0
740000,494.0
741000,482.0
742000,465.0
743000,484.0
744000,468.0
745000,482.0
746000,483.0
747000,488.0
748000,485.0
749000,489.0
750000,487.0
751000,480.0
752000,477.0
753000,478.0
754000,490.0
755000,467.0
756000,487.0
757000,489.0
758000,482.0
759000,482.0
760000,496.0
761000,489.0
762000,474.0
763000,474.0
764000,457.0
765000,489.0
766000,450.0
767000,462.0
768000,485.0
769000,489.0
770000,449.0
771000,484.0
772000,494.0
773000,470.0
774000,462.0
775000,477.0
776000,490.0
777000,472.0
778000,472.0
779000,488.0
780000,477.0
781000,485.0
782000,490.0
783000,483.0
784000,467.0
785000,465.0
786000,484.0
787000,458.0
788000,446.0
789000,483.0
790000,470.0
791000,482.0
792000,476.0
793000,470.0
794000,488.0
795000,485.0
796000,486.0
797000,472.0
798000,473.0
799000,477.0
800000,483.0
801000,475.0
802000,474.0
803000,488.0
804000,481.0
805000,478.0
806000,481.0
807000,484.0
808000,471.0
809000,469.0
810000,493.0
811000,491.0
812000,475.0
813000,469.0
814000,491.0
815000,482.0
816000,475.0
817000,467.0
818000,457.0
819000,491.0
820000,480.0
821000,488.0
822000,470.0
823000,485.0
824000,472.0
825000,460.0
826000,485.0
827000,489.0
828000,481.0
829000,472.0
830000,464.0
831000,470.0
832000,479.0
833000,487.0
834000,473.0
835000,481.0
836000,493.0
837000,475.0
838000,491.0
839000,473.0
840000,501.0
841000,490.0
842000,478.0
843000,486.0
844000,482.0
845000,483.0
846000,473.0
847000,478.0
848000,482.0
849000,482.0
850000,483.0
851000,479.0
852000,484.0
853000,487.0
854000,491.0
855000,501.0
856000,496.0
857000,492.0
858000,490.0
859000,475.0
860000,482.0
861000,483.0
862000,480.0
863000,480.0
864000,495.0
865000,489.0
866000,495.0
867000,495.0
868000,485.0
869000,488.0
870000,473.0
871000,480.0
872000,485.0
873000,488.0
874000,480.0
875000,487.0
876000,499.0
877000,478.0
878000,477.0
879000,480.0
880000,482.0
881000,483.0
882000,481.0
883000,484.0
884000,468.0
885000,480.0
886000,482.0
887000,466.0
888000,489.0
889000,474.0
890000,470.0
891000,478.0
892000,482.0
893000,487.0
894000,481.0
895000,495.0
896000,485.0
897000,480.0
898000,487.0
899000,489.0
900000,495.0
901000,493.0
902000,488.0
903000,496.0
904000,477.0
905000,485.0
906000,492.0
907000,472.0
908000,487.0
909000,504.0
910000,462.0
911000,470.0
912000,494.0
913000,469.0
914000,487.0
915000,470.0
916000,484.0
917000,501.0
918000,477.0
919000,459.0
920000,492.0
921000,492.0
922000,479.0
923000,470.0
924000,483.0
925000,469.0
926000,477.0
927000,493.0
928000,498.0
929000,477.0
930000,468.0
931000,490.0
932000,459.0
933000,481.0
934000,498.0
935000,495.0
936000,486.0
937000,470.0
938000,506.0
939000,492.0
940000,496.0
941000,501.0
942000,485.0
943000,469.0
944000,487.0
945000,468.0
946000,481.0
947000,497.0
948000,481.0
949000,489.0
950000,489.0
951000,486.0
952000,486.0
953000,502.0
954000,472.0
955000,479.0
956000,493.0
957000,459.0
958000,467.0
959000,460.0
960000,481.0
961000,489.0
962000,484.0
963000,492.0
964000,493.0
965000,483.0
966000,494.0
967000,482.0
968000,494.0
969000,492.0
970000,486.0
971000,493.0
972000,506.0
973000,471.0
974000,452.0
975000,465.0
976000,490.0
977000,496.0
978000,474.0
979000,483.0
980000,516.0
981000,483.0
982000,477.0
983000,498.0
984000,479.0
985000,491.0
986000,480.0
987000,487.0
988000,487.0
989000,484.0
990000,477.0
991000,462.0
992000,458.0
993000,497.0
994000,498.0
995000,497.0
996000,467.0
997000,492.0
998000,484.0
999000,480.0
1000000,483.0
