step,td_raw,td_used,td_scale
10000,0.07564258575439453,0.1782504916191101,0.42436118042111537
20000,0.024756550788879395,0.06546541303396225,0.3781622861711347
30000,-0.004481315612792969,-0.01242161076515913,0.36076766038925145
40000,-0.02581608295440674,-0.07379760593175888,0.3498227493455444
50000,0.0002849102020263672,0.0008526648744009435,0.33414088999201785
60000,-0.014273405075073242,-0.04454734921455383,0.3204097394584634
70000,-0.0008978843688964844,-0.0028814568649977446,0.31160779141344874
80000,0.0017724037170410156,0.005798740778118372,0.30565321041385923
90000,-0.016429901123046875,-0.054717037826776505,0.30027029533109606
100000,-0.020633459091186523,-0.06961443275213242,0.2963962749736769
