step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,4.023795237925947,0.018711131356969835,3.741088588634446,2115.473005188339,5.027119641454192e-06,-98.22986602783203,-24.976058959960938,93.48671160009884
2000,7.011140437250025,0.03491208992331769,2.0050360821638233,1798.3107719381312,7.036884198896587e-06,-57.0943489074707,-26.093305587768555,52.32394466263302
3000,19.92430743047803,0.06695429315863771,1.045489343515971,1537.0908693025272,9.770335964276455e-06,-31.94164276123047,-25.943004608154297,27.137075945309682
4000,5.8280143385086385,0.06000455136123591,1.1665781746886177,1403.3008479952593,1.1727389392035548e-05,-35.64039611816406,-26.43091583251953,30.834756269184926
5000,10.063719706630033,0.06358726139834682,1.1008494226772898,1311.8476229392465,1.3544978173740674e-05,-33.52142333984375,-26.049999237060547,28.693367104256378
6000,3.8174732201087647,0.05846130837119386,1.1973731336210003,1256.411003251707,1.4834774447081145e-05,-35.66997146606445,-25.747018814086914,30.830786367115135
7000,4.786061725529231,0.05446929653309884,1.2851276674275345,1223.7713614520076,1.0372425094828941e-05,-39.23280334472656,-26.790315628051758,35.29149773670656
8000,5.915589376922389,0.052970211921998925,1.3214974503609356,1202.4856077016912,1.6240981494775042e-05,-38.86286926269531,-25.73467445373535,34.0168437715397
9000,4.0728519710077284,0.05037893650586071,1.3894695850091383,1191.1730843983244,1.695926403044723e-05,-41.4268913269043,-26.282712936401367,36.52144595787985
10000,11.481455239448545,0.05328631001867218,1.3136582355856719,1177.3625450532577,1.7174390450236388e-05,-39.274845123291016,-26.125276565551758,34.395622020256006
11000,6.565921132781005,0.05119751491795394,1.3672538620708017,1169.4881748052949,1.8455273675499484e-05,-40.91808319091797,-26.247146606445312,35.89400677442055
12000,17.405284832547842,0.05597299703527763,1.250603035529466,1156.6755601147638,1.9081790014752187e-05,-38.301944732666016,-26.505130767822266,33.24926849860369
13000,6.884050716895011,0.05407827566934941,1.2944199705626847,1147.721042705895,2.149132160411682e-05,-37.953861236572266,-25.173128128051758,32.63316832543927
14000,6.22112273819817,0.052553095417910894,1.3319862406457401,1142.0057968659976,2.5337651095469482e-05,-39.574249267578125,-25.372882843017578,33.82579312846103
15000,4.143376525888292,0.05099226679885197,1.3727571726930166,1139.1044733492208,3.2331841794075444e-05,-42.63039779663086,-26.336284637451172,36.153323699185265
16000,18.116549938069927,0.05561651470180571,1.25861896192728,1131.9693296426592,7.710895442869514e-05,-41.6059455871582,-25.113704681396484,31.665929216224015
17000,9.077203298824562,0.05550377162316638,1.2611755553343897,1125.4287147684563,0.00013332869275473058,-45.219825744628906,-25.49728775024414,32.224721898605296
18000,5.399683780249263,0.054120924361383875,1.2933999340548237,1120.652544503584,0.00022165628615766764,-49.89908981323242,-25.663681030273438,33.2146729570705
19000,7.537637660916631,0.05417998552440077,1.2919900092714949,1116.5488841897525,0.0003395818348508328,-53.941444396972656,-25.819435119628906,33.36596760475586
20000,4.651658485936999,0.0529333122399334,1.3224186629906627,1114.0036281567502,0.0004695334646385163,-56.759979248046875,-24.641021728515625,32.62094580514752
21000,3.9749011610306217,0.05180788274111715,1.3511457387631234,1112.74696674334,0.0006365785375237465,-62.638572692871094,-25.56916046142578,34.56340575467118
22000,12.309458125446524,0.053972372273827555,1.2969598528087047,1109.8560578483286,0.000896098033990711,-66.52145385742188,-25.607765197753906,33.29803135947981
23000,3.825505384650977,0.05288100607246466,1.3237267064109295,1107.8988861011626,0.0011622145539149642,-71.8904800415039,-25.764204025268555,34.12080247173535
24000,5.507120198594579,0.05231445672576242,1.3380622562315225,1106.679255735883,0.0014840660151094198,-76.67377471923828,-25.42244529724121,34.0405334370333
25000,4.705603006488991,0.051379508026748254,1.362410865506106,1106.3360475868542,0.0018380937399342656,-82.79473114013672,-25.940044403076172,35.36278883716492
