step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,0.006,0.9866904889771135,0.5824798345565796,-0.7904974222183228,-6.241934776306152,0.037451608657836914
2000,0.0,0.0001,0.006,1.119486832880172,0.481739342212677,-0.8181395530700684,-6.855388641357422,0.041132331848144535
3000,8.0,0.05157947624471175,0.006,4.937268305583829,0.029264045879244804,-0.8808711171150208,-6.044266223907471,0.036265597343444825
4000,0.0,0.04468220143167971,0.006,4.320499651636539,0.04020852595567703,-0.903564989566803,-6.202617168426514,0.037215703010559084
5000,1.0,0.04239244536335196,0.006,3.9727806838578252,0.046678051352500916,-0.8935153484344482,-5.865326404571533,0.0351919584274292
6000,2.0,0.04278173989488546,0.006,3.794299814110123,0.051776569336652756,-0.9080234169960022,-7.441799640655518,0.0446507978439331
7000,24.0,0.07053871855818505,0.006,6.354780433204545,0.02371327392756939,-1.0137702226638794,-5.86505651473999,0.035190339088439944
8000,8.0,0.07312166383648057,0.006,6.163987933104152,0.02794770896434784,-1.0664818286895752,-6.0021538734436035,0.036012923240661625
9000,0.0,0.06895998117633095,0.006,5.825922259005575,0.019653581082820892,-0.8584573268890381,-6.9523515701293945,0.04171410942077637
10000,5.0,0.06911901144963195,0.006,5.641696910067078,0.026197031140327454,-0.9484052658081055,-5.878100872039795,0.03526860523223877
11000,0.0,0.06591653844382957,0.006,5.39221903144055,0.021477486938238144,-0.843658447265625,-8.90300178527832,0.053418010711669926
12000,1.0,0.06377302438159431,0.006,5.187543346657052,0.02742534875869751,-0.9125614762306213,-8.912184715270996,0.05347310829162598
13000,8.0,0.06607364344160829,0.006,5.1794021333277405,0.028861787170171738,-0.91588294506073,-5.994479656219482,0.03596687793731689
14000,0.0,0.06367999445504392,0.006,5.001756174616892,0.024686742573976517,-0.8239715099334717,-6.349136829376221,0.038094820976257326
15000,0.0,0.061528955683421725,0.006,4.842554600637795,0.026297342032194138,-0.8209875226020813,-5.949471950531006,0.035696831703186035
16000,0.0,0.05958213214256762,0.006,4.698899951758597,0.03006335347890854,-0.8550825119018555,-6.725038528442383,0.0403502311706543
17000,4.0,0.05979607168744335,0.006,4.631370706666551,0.032567307353019714,-0.8724406957626343,-6.107387542724609,0.03664432525634766
18000,2.0,0.05905881623139876,0.006,4.535150935463932,0.03231712803244591,-0.8524871468544006,-6.200769424438477,0.03720461654663086
19000,32.0,0.07053553612107266,0.006,5.785917995633658,0.037380341440439224,-1.1554491519927979,-6.1333465576171875,0.036800079345703125
20000,2.0,0.06947459129740732,0.006,5.660299123318755,0.01921543851494789,-0.821804404258728,-6.1958441734313965,0.03717506504058838
21000,0.0,0.06780804500377718,0.006,5.530484621003486,0.018437528982758522,-0.7904809713363647,-6.587475776672363,0.03952485466003418
22000,18.0,0.07211230629469655,0.006,5.743978341783279,0.022278275340795517,-0.8969188928604126,-6.596312999725342,0.03957787799835205
23000,4.0,0.07174515639318287,0.006,5.652589301331037,0.020135222002863884,-0.8398823142051697,-6.297940254211426,0.037787641525268555
24000,0.0,0.07024210877599786,0.006,5.539396897464458,0.020602451637387276,-0.8800337314605713,-14.155570983886719,0.08493342590332031
25000,0.0,0.0688297312305958,0.006,5.433044764508567,0.022464454174041748,-0.8547611236572266,-6.741389274597168,0.04044833564758301
26000,0.0,0.06749925991159371,0.006,5.333087955408374,0.020995385944843292,-0.8118313550949097,-6.513064384460449,0.0390783863067627
27000,0.0,0.06624307277919701,0.006,5.238758575985988,0.02239093743264675,-0.8220482468605042,-6.3568878173828125,0.03814132690429688
28000,9.0,0.06745882549377652,0.006,5.2465732221241295,0.04282107204198837,-1.121375560760498,-5.948146820068359,0.03568888092041016
29000,41.0,0.07611718093160535,0.006,6.20026571370131,0.11417404562234879,-2.1315083503723145,-6.0766987800598145,0.03646019268035889
30000,40.0,0.0831766964619099,0.006,6.795064190113864,0.024160992354154587,-1.0971189737319946,-6.81788969039917,0.04090733814239502
31000,5.0,0.08279971276829047,0.006,6.708142155174658,0.02069290727376938,-1.0036959648132324,-6.454617500305176,0.03872770500183106
32000,8.0,0.08300353241473997,0.006,6.645727608774693,0.021563658490777016,-1.0120238065719604,-6.021220684051514,0.036127324104309085
33000,1.0,0.08192749431576789,0.006,6.550573373726736,0.02403748780488968,-1.0534337759017944,-6.3051838874816895,0.03783110332489014
34000,8.0,0.08214716116601835,0.006,6.495229842230347,0.015739645808935165,-0.8516033887863159,-6.121081352233887,0.03672648811340332
35000,21.0,0.08454799961547442,0.006,6.579773682829098,0.03740699961781502,-1.3092172145843506,-6.105072975158691,0.03663043785095215
36000,32.0,0.08846960909878267,0.006,6.8116360538143415,0.02645683102309704,-1.1489622592926025,-6.835299968719482,0.041011799812316896
37000,35.0,0.09245280026206214,0.006,7.048292271315288,0.036698345094919205,-1.403038740158081,-8.801785469055176,0.05281071281433106
38000,51.0,0.09819516156892673,0.006,7.50577708903258,0.03816203400492668,-1.5088077783584595,-7.091073513031006,0.04254644107818604
39000,30.0,0.10075453637099568,0.006,7.594940074165564,0.04147877171635628,-1.5868852138519287,-6.6790056228637695,0.040074033737182616
40000,28.0,0.10288719378215239,0.006,7.652287360453236,0.02456311509013176,-1.2386904954910278,-6.562700271606445,0.039376201629638674
41000,16.0,0.10350003147573067,0.006,7.615976342684257,0.01767950877547264,-1.0703624486923218,-9.618223190307617,0.05770933914184571
42000,19.0,0.10441525143287601,0.006,7.598460700859779,0.1414809376001358,-2.8965771198272705,-6.415982246398926,0.03849589347839356
43000,5.0,0.10375700414805997,0.006,7.521410808556605,0.016929633915424347,-1.0215846300125122,-7.15739107131958,0.04294434642791748
44000,6.0,0.10323234872128287,0.006,7.449707652200644,0.011274892836809158,-0.8265669941902161,-5.922075271606445,0.035532451629638674
45000,12.0,0.10336148902408432,0.006,7.401636545679707,0.030664732679724693,-1.334976077079773,-6.474946975708008,0.038849681854248044
46000,16.0,0.10389506059706628,0.006,7.373721034393705,0.02417190745472908,-1.1846855878829956,-6.378298282623291,0.03826978969573975
47000,3.0,0.10309926693808955,0.006,7.301804061329424,0.020365281030535698,-1.0792156457901,-6.199535846710205,0.037197215080261234
48000,40.0,0.10595038192574092,0.006,7.4594984961157875,0.03188026323914528,-1.378003478050232,-7.684443473815918,0.04610666084289551
49000,31.0,0.10778291470199235,0.006,7.522088437084969,0.034909266978502274,-1.4512437582015991,-7.635858535766602,0.04581515121459961
50000,45.0,0.1107519251289944,0.006,7.695623584373824,0.061148010194301605,-1.9498847723007202,-7.816916465759277,0.046901498794555664
51000,27.0,0.1120030753187882,0.006,7.714762534346256,0.04856470227241516,-1.73598051071167,-5.9745707511901855,0.03584742450714112
52000,23.0,0.1128608960702569,0.006,7.710453247183997,0.021901922300457954,-1.178812861442566,-6.286652565002441,0.03771991539001465
53000,37.0,0.11480544403708129,0.006,7.7886688762938645,0.05419076606631279,-1.856041431427002,-7.154026031494141,0.04292415618896484
54000,84.0,0.12021573599953855,0.006,8.31638722352043,0.08267626166343689,-2.4300525188446045,-6.466941833496094,0.038801651000976566
55000,35.0,0.12169856485397264,0.006,8.350380782354687,0.02086985670030117,-1.2503743171691895,-7.3407697677612305,0.04404461860656738
56000,33.0,0.12296979730186834,0.006,8.371146563773749,0.4094133973121643,-5.399778842926025,-7.244276523590088,0.043465659141540526
57000,111.0,0.129403196563723,0.006,9.072903766250837,0.06410600990056992,-2.3337552547454834,-6.095273017883301,0.036571638107299805
58000,41.0,0.13093559149422754,0.006,9.105845541656956,0.13966500759124756,-3.4613373279571533,-9.720117568969727,0.05832070541381836
59000,45.0,0.1326446233979912,0.006,9.15294117667217,0.034530505537986755,-1.7397496700286865,-6.485828399658203,0.03891497039794922
60000,56.0,0.13493035587547472,0.006,9.251847210334924,0.1073990985751152,-3.0722734928131104,-6.712737083435059,0.04027642250061035
61000,104.0,0.13983241759065124,0.006,9.677569769567738,0.09396268427371979,-3.005202531814575,-6.4508161544799805,0.03870489692687988
62000,67.0,0.14241177547969702,0.006,9.801096531794142,0.0687517300248146,-2.6087348461151123,-6.472207546234131,0.03883324527740479
63000,35.0,0.14317295814812198,0.006,9.784522154963081,0.12199266999959946,-3.4528956413269043,-5.901953220367432,0.03541171932220459
64000,55.0,0.14494195743852,0.006,9.838196549048588,0.0685676857829094,-2.6137452125549316,-6.261811256408691,0.03757086753845215
65000,40.0,0.14587989488101244,0.006,9.834442993701607,0.028881633654236794,-1.714851975440979,-7.254666328430176,0.04352799797058106
66000,42.0,0.14688179806773716,0.006,9.83607453218153,0.09011994302272797,-2.99949312210083,-7.784157752990723,0.04670494651794434
67000,26.0,0.14707296773817014,0.006,9.796031136022998,0.015633290633559227,-1.2622480392456055,-6.236553192138672,0.03741931915283203
68000,47.0,0.14825663189823632,0.006,9.812762578318582,0.037509508430957794,-1.9482994079589844,-7.970890522003174,0.04782534313201904
69000,78.0,0.1508236301146338,0.006,9.953887620068958,0.013362077996134758,-7.815952301025391,-5.846199035644531,6.665337977885153
70000,61.0,0.1525159103625427,0.006,10.011099667639948,0.027445076033473015,-1.698166847229004,-6.612088203430176,0.03967252922058106
71000,146.0,0.15778745172017986,0.006,10.54233811923123,0.10367447882890701,-3.436363697052002,-6.981091022491455,0.04188654613494873
72000,88.0,0.16037201626147965,0.006,10.68075367399528,0.04850100353360176,-8.623042106628418,-5.887401580810547,6.270826234002322
73000,159.0,0.16563863445055776,0.006,11.19649470048814,0.012332480400800705,-1.280985951423645,-6.266017913818359,0.03759610748291016
74000,166.0,0.17084877646866956,0.006,11.687953724451894,0.08557049185037613,-9.307453155517578,-5.885458946228027,5.888442174146944
75000,109.0,0.17371515242376356,0.006,11.844122940464757,0.054876621812582016,-2.8117265701293945,-6.191815376281738,0.03715089225769043
76000,147.0,0.1777753379818486,0.006,12.150200290152075,0.05953144282102585,-3.0020158290863037,-6.246761322021484,0.03748056793212891
77000,140.0,0.18139719568084264,0.006,12.395958483034578,0.1120540052652359,-9.717921257019043,-9.279274940490723,5.568440035259133
78000,142.0,0.18491226219606996,0.006,12.627312586287928,0.13887996971607208,-4.757238388061523,-8.577990531921387,0.05146794319152832
79000,87.0,0.18654330573600242,0.006,12.6658344528704,0.18325291574001312,-5.470604419708252,-8.101337432861328,0.04860802459716797
80000,70.0,0.18759361467558922,0.006,12.66425487647878,0.026055753231048584,-2.102816104888916,-9.762992858886719,0.058577957153320315
81000,143.0,0.19080913874468883,0.006,12.865247050184095,0.056746479123830795,-3.1115729808807373,-7.812624931335449,0.046875749588012695
82000,23.0,0.1903702003170425,0.006,12.798090549645158,0.026312772184610367,-2.1285459995269775,-8.756757736206055,0.05254054641723633
83000,0.0,0.18926450348284912,0.006,12.721560344841047,0.009631394408643246,-1.2940558195114136,-7.594345569610596,0.045566073417663576
84000,0.0,0.18817781133380232,0.006,12.646361149804044,0.004042537417262793,-0.8408019542694092,-6.122369766235352,0.03673421859741211
85000,14.0,0.18751722775033522,0.006,12.577581993148213,0.0033811177127063274,-0.7690723538398743,-6.286480903625488,0.03771888542175293
86000,0.0,0.18646485891695078,0.006,12.505006173428173,0.0035968550946563482,-0.7933632731437683,-7.231786251068115,0.043390717506408695
87000,0.0,0.1854299768524573,0.006,12.433718602651869,0.004120879340916872,-0.8362512588500977,-6.346695899963379,0.03808017539978027
88000,0.0,0.18441210359557522,0.006,12.363644798706266,0.003941449336707592,-0.8222610950469971,-7.676596641540527,0.046059579849243165
89000,0.0,0.18341077923543048,0.006,12.29474352631555,0.005072259344160557,-0.9213998913764954,-7.628467559814453,0.04577080535888672
